date,DN_450,DN_500,DN_550,DN_570,DN_600,DN_650,DN_610,DN_680,DN_730,DN_760,DN_810,DN_860,Plot
2022-04-14,1.377675427,1.507340091,1.49207182,1.409530428,1.313675427,1.148670558,1.245324032,1.208729495,1.298372561,1.204927885,1.303327006,1.334230112,Sant Antonio 1
2022-04-15,1.042287546,1.108878015,1.12058412,1.003755397,0.948125545,0.808365759,0.910170862,0.823059241,0.988920696,0.95826049,1.009091817,1.085185558,Sant Antonio 1
2022-04-16,1.494457238,1.450853847,1.354421709,1.283931634,1.370422842,1.239623865,1.349206349,1.072118901,1.17870017,1.093203671,1.414976521,1.401237051,Sant Antonio 1
2022-04-17,1.014799512,1.058446098,1.030299056,0.931752321,0.895425956,0.734435798,0.837756546,0.767161216,0.968246395,0.896661932,1.016834849,1.034773207,Sant Antonio 1
2022-04-18,1.168043891,1.241074549,1.247522444,1.146430895,1.102721385,0.923313878,1.008745324,0.940601818,1.141592451,1.062609266,1.112498751,1.151061048,Sant Antonio 1
2022-04-21,0.677718324,1.150197234,1.160006412,1.112499261,0.803804957,0.87021725,0.818799919,1.09628043,0.921464165,0.937909747,0.733839544,0.828346575,Sant Antonio 1
2022-04-22,0.54366477,0.698057622,0.880989857,0.73555503,0.728141736,0.544909209,0.685977151,0.61357225,0.575964801,0.547421329,0.465580977,0.443025244,Sant Antonio 1
2022-04-24,0.206357807,0.256154192,0.317710155,0.254006742,0.246606053,0.188229572,0.243150339,0.209225786,0.16062341,0.157615822,0.112898391,0.106859097,Sant Antonio 1
2022-04-28,1.046069268,1.134093973,1.106593214,1.027411438,0.976538174,0.78445201,0.921039329,0.818096333,1.035040288,0.994318182,1.13285543,1.090968521,Sant Antonio 1
2022-04-29,1.04172311,1.101076047,1.051649761,0.972780768,0.951005729,0.768644617,0.907643312,0.809998955,1.051606234,1.001966783,1.148091717,1.091094237,Sant Antonio 1
2022-05-05,0.838018152,1.03454087,1.330010493,1.210597906,1.108715282,0.853518158,1.046279446,0.85949744,1.022715225,0.946514423,0.715605955,0.690058332,Sant Antonio 1
2022-05-06,0.549252687,0.697932791,0.883248805,0.823895559,0.692801096,0.545963035,0.664998483,0.578178874,0.691528838,0.659282124,0.491182935,0.473825807,Sant Antonio 1
2022-05-07,0.221315362,0.292230489,0.370613268,0.33613756,0.293156059,0.221303502,0.278283288,0.257418243,0.307994063,0.298978365,0.229168748,0.229809917,Sant Antonio 1
2022-05-11,0.534238689,0.899910121,1.020826046,1.022310604,0.714130029,0.578388457,0.668537054,0.810260161,1.816422816,2.123989292,1.805749825,2.092301116,Sant Antonio 1
2022-05-12,0.370439357,0.628276826,0.837049668,0.826113312,0.565216714,0.419666018,0.513471843,0.610829589,1.855783503,2.15472028,1.8050005,2.105878507,Sant Antonio 1
2022-05-13,0.258850357,0.369001848,0.511542497,0.493819859,0.381896874,0.293450065,0.311141442,0.383188799,1.456477947,1.738690997,1.799630333,1.932263904,Sant Antonio 1
2022-05-14,0.19292423,0.302341839,0.388247639,0.401856999,0.287862748,0.216439689,0.227985037,0.315536517,1.288963104,1.611942745,1.680237786,1.788192698,Sant Antonio 1
2022-05-15,0.174523616,0.300594198,0.398012125,0.421668934,0.277198281,0.221303502,0.220907896,0.282102184,1.288300466,1.774612107,1.639024878,1.984939153,Sant Antonio 1
2022-05-16,0.165944189,0.206346432,0.486475458,0.398012893,0.293311745,0.171206226,0.238347993,0.198255146,1.539970314,1.764641608,1.787391348,1.655184552,Sant Antonio 1
2022-05-17,0.156800325,0.187746542,0.420164393,0.343751848,0.257504048,0.155642023,0.207511879,0.178925922,1.413008906,1.686516608,1.742431811,1.634064166,Sant Antonio 1
